N° RECETA	BATCH	LITERAL 	FÓRMULA	INGREDIENTE	CANTIDAD	BATERIA	CONTROLADOR	TOLVA
1	500	IAY1101	TECNOLOGIA LECHERA	TRIKI TRAKES	425	B1	C1	M1
1	500	IAY1101	TECNOLOGIA LECHERA	CALCIO	426	B1	C1	M2
1	500	IAY1101	TECNOLOGIA LECHERA	SAL MOLIDA	0	B1	C1	M3
1	500	IAY1101	TECNOLOGIA LECHERA	ORTOFOSFATO 21%	0	B1	C1	M4
1	500	IAY1101	TECNOLOGIA LECHERA	OXIDO MAGNESIO NP	0	B1	C2	M1
1	500	IAY1101	TECNOLOGIA LECHERA	BICARBONATO SODIO	0	B1	C2	M2
1	500	IAY1101	TECNOLOGIA LECHERA	CALSEA POWER	0	B1	C2	M3
1	500	IAY1101	TECNOLOGIA LECHERA	REDMOND (OTO)	0	B1	C2	M4
1	500	IAY1101	TECNOLOGIA LECHERA	SESQUICARBONATO	0	B2	C3	M1
1	500	IAY1101	TECNOLOGIA LECHERA	CARRIER 3%	0	B2	C3	M2
1	500	IAY1101	TECNOLOGIA LECHERA	UREA	0	B2	C3	M3
1	500	IAY1101	TECNOLOGIA LECHERA	AVAILA DAIRY	0	B2	C3	M4
1	500	IAY1101	TECNOLOGIA LECHERA	NOTOX REPRODUCTION	0	B2	C4	M1
1	500	IAY1101	TECNOLOGIA LECHERA	CERTILLUS	0	B2	C4	M2
1	500	IAY1101	TECNOLOGIA LECHERA	NUCLEO BETAS 	0	B2	C4	M3
1	500	IAY1101	TECNOLOGIA LECHERA	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
1	500	IAY1101	TECNOLOGIA LECHERA	ISOFERM 	0	B2	C5	M1
1	500	IAY1101	TECNOLOGIA LECHERA	NA	0	B2	C5	M2
1	500	IAY1101	TECNOLOGIA LECHERA	NA	0	B2	C5	M3
1	500	IAY1101	TECNOLOGIA LECHERA	NA	0	B2	C5	M4
2	500	IAW-01-018	PRODUCTORAS SELLA 	TRIKI TRAKES	125	B1	C1	M1
2	500	IAW-01-018	PRODUCTORAS SELLA 	CALCIO	126	B1	C1	M2
2	500	IAW-01-018	PRODUCTORAS SELLA 	SAL MOLIDA	42.7673	B1	C1	M3
2	500	IAW-01-018	PRODUCTORAS SELLA 	ORTOFOSFATO 21%	62.67835	B1	C1	M4
2	500	IAW-01-018	PRODUCTORAS SELLA 	OXIDO MAGNESIO NP	12.6051	B1	C2	M1
2	500	IAW-01-018	PRODUCTORAS SELLA 	BICARBONATO SODIO	0	B1	C2	M2
2	500	IAW-01-018	PRODUCTORAS SELLA 	CALSEA POWER	69.7782	B1	C2	M3
2	500	IAW-01-018	PRODUCTORAS SELLA 	REDMOND (OTO)	0	B1	C2	M4
2	500	IAW-01-018	PRODUCTORAS SELLA 	SESQUICARBONATO	0	B2	C3	M1
2	500	IAW-01-018	PRODUCTORAS SELLA 	CARRIER 3%	47.60675	B2	C3	M2
2	500	IAW-01-018	PRODUCTORAS SELLA 	UREA	0	B2	C3	M3
2	500	IAW-01-018	PRODUCTORAS SELLA 	AVAILA DAIRY	0	B2	C3	M4
2	500	IAW-01-018	PRODUCTORAS SELLA 	NOTOX REPRODUCTION	0	B2	C4	M1
2	500	IAW-01-018	PRODUCTORAS SELLA 	CERTILLUS	0	B2	C4	M2
2	500	IAW-01-018	PRODUCTORAS SELLA 	NUCLEO BETAS 	0	B2	C4	M3
2	500	IAW-01-018	PRODUCTORAS SELLA 	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
2	500	IAW-01-018	PRODUCTORAS SELLA 	ISOFERM 	0	B2	C5	M1
2	500	IAW-01-018	PRODUCTORAS SELLA 	NA	0	B2	C5	M2
2	500	IAW-01-018	PRODUCTORAS SELLA 	NA	0	B2	C5	M3
2	500	IAW-01-018	PRODUCTORAS SELLA 	NA	0	B2	C5	M4
3	500	IAV-01-020	PRODUCTORAS FENIX	TRIKI TRAKES	48.8131	B1	C1	M1
3	500	IAV-01-020	PRODUCTORAS FENIX	CALCIO	137.6243	B1	C1	M2
3	500	IAV-01-020	PRODUCTORAS FENIX	SAL MOLIDA	42.7673	B1	C1	M3
3	500	IAV-01-020	PRODUCTORAS FENIX	ORTOFOSFATO 21%	62.67835	B1	C1	M4
3	500	IAV-01-020	PRODUCTORAS FENIX	OXIDO MAGNESIO NP	12.6051	B1	C2	M1
3	500	IAV-01-020	PRODUCTORAS FENIX	BICARBONATO SODIO	0	B1	C2	M2
3	500	IAV-01-020	PRODUCTORAS FENIX	CALSEA POWER	69.7782	B1	C2	M3
3	500	IAV-01-020	PRODUCTORAS FENIX	REDMOND (OTO)	0	B1	C2	M4
3	500	IAV-01-020	PRODUCTORAS FENIX	SESQUICARBONATO	0	B2	C3	M1
3	500	IAV-01-020	PRODUCTORAS FENIX	CARRIER 3%	47.60675	B2	C3	M2
3	500	IAV-01-020	PRODUCTORAS FENIX	UREA	0	B2	C3	M3
3	500	IAV-01-020	PRODUCTORAS FENIX	AVAILA DAIRY	0	B2	C3	M4
3	500	IAV-01-020	PRODUCTORAS FENIX	NOTOX REPRODUCTION	0	B2	C4	M1
3	500	IAV-01-020	PRODUCTORAS FENIX	CERTILLUS	0	B2	C4	M2
3	500	IAV-01-020	PRODUCTORAS FENIX	NUCLEO BETAS 	0	B2	C4	M3
3	500	IAV-01-020	PRODUCTORAS FENIX	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
3	500	IAV-01-020	PRODUCTORAS FENIX	ISOFERM 	0	B2	C5	M1
3	500	IAV-01-020	PRODUCTORAS FENIX	NA	0	B2	C5	M2
3	500	IAV-01-020	PRODUCTORAS FENIX	NA	0	B2	C5	M3
3	500	IAV-01-020	PRODUCTORAS FENIX	NA	0	B2	C5	M4
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	TRIKI TRAKES	4.89575	B1	C1	M1
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	CALCIO	137.6243	B1	C1	M2
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	SAL MOLIDA	0	B1	C1	M3
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	ORTOFOSFATO 21%	42.7673	B1	C1	M4
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	OXIDO MAGNESIO NP	0	B1	C2	M1
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	BICARBONATO SODIO	0	B1	C2	M2
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	CALSEA POWER	0	B1	C2	M3
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	REDMOND (OTO)	0	B1	C2	M4
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	SESQUICARBONATO	0	B2	C3	M1
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	CARRIER 3%	0	B2	C3	M2
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	UREA	0	B2	C3	M3
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	AVAILA DAIRY	0	B2	C3	M4
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	NOTOX REPRODUCTION	0	B2	C4	M1
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	CERTILLUS	0	B2	C4	M2
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	NUCLEO BETAS 	0	B2	C4	M3
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	ISOFERM 	62.67835	B2	C5	M1
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	NA	0	B2	C5	M2
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	NA	0	B2	C5	M3
4	250	IAW-03-008	SECAS  SELLA ISOFERM 	NA	0	B2	C5	M4
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	TRIKI TRAKES	4.89575	B1	C1	M1
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	CALCIO	130	B1	C1	M2
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	SAL MOLIDA	0	B1	C1	M3
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	ORTOFOSFATO 21%	38.640575	B1	C1	M4
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	OXIDO MAGNESIO NP	0	B1	C2	M1
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	BICARBONATO SODIO	0	B1	C2	M2
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	CALSEA POWER	0	B1	C2	M3
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	REDMOND (OTO)	0	B1	C2	M4
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	SESQUICARBONATO	0	B2	C3	M1
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	CARRIER 3%	0	B2	C3	M2
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	UREA	0	B2	C3	M3
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	AVAILA DAIRY	0	B2	C3	M4
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NOTOX REPRODUCTION	0	B2	C4	M1
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	CERTILLUS	0	B2	C4	M2
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NUCLEO BETAS 	0	B2	C4	M3
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NUCLEO SAN CARLOS Y COMPÁS	0	B2	C4	M4
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	ISOFERM 	41.666675	B2	C5	M1
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NA	0	B2	C5	M2
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NA	0	B2	C5	M3
5	250	IAV-03-008	SECAS  FENIX ISOFERM 	NA	0	B2	C5	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	TRIKI TRAKES	0	B1	C1	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	CALCIO	323.64405	B1	C1	M2
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	SAL MOLIDA	0	B1	C1	M3
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	ORTOFOSFATO 21%	92.6589	B1	C1	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	OXIDO MAGNESIO NP	0	B1	C2	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	BICARBONATO SODIO	0	B1	C2	M2
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	CALSEA POWER	0	B1	C2	M3
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	REDMOND (OTO)	0	B1	C2	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	SESQUICARBONATO	0	B2	C3	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	CARRIER 3%	0	B2	C3	M2
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	UREA	0	B2	C3	M3
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	AVAILA DAIRY	0	B2	C3	M4
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	NOTOX REPRODUCTION	0	B2	C4	M1
6	500	IAU-03-005	SECAS AFLA VIT ESMERALDA	CERTILLUS	0	B2	C4	M2
